Item,Part Number,Thumbnail,BOM Structure,Unit QTY,QTY,Stock Number,Description,REV
1,Body hollow,*Varies*,Normal,Each,2,,,
2,Avionics,(NonDisplayable),Normal,Each,1,,,
3,Wk g,*Varies*,Normal,Each,2,,,
4,Tunnel,(NonDisplayable),Normal,Each,2,,,
5,Servo,(NonDisplayable),Normal,Each,1,,,
6,Rudder,(NonDisplayable),Normal,Each,1,,,
7,Rudder_MIR,(NonDisplayable),Normal,Each,1,,,
8,Servo arm,(NonDisplayable),Normal,Each,1,,,
9,Styrepind,(NonDisplayable),Normal,Each,1,,,
10,BLDC,(NonDisplayable),Normal,Each,1,,,
11,Propeller,(NonDisplayable),Normal,Each,1,,,
12,Servo_MIR,(NonDisplayable),Normal,Each,1,,,
13,Servo arm_MIR,(NonDisplayable),Normal,Each,1,,,
14,Styrepind_MIR,(NonDisplayable),Normal,Each,1,,,
15,Wing_MIR1,(NonDisplayable),Normal,Each,1,,,
16,Aileron_MIR,(NonDisplayable),Normal,Each,1,,,
